Sequence id,superkingdom,phylum,class,order,family,genus,species
Campylobacter_jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_jejuni
Corynebacterium_diphtheriae,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_diphtheriae
Listeria_seeligeri,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_seeligeri
Mycoplasma_mycoides,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_mycoides
Yersinia_enterocolitica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia_enterocolitica
Streptococcus_gallolyticus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gallolyticus
Pyrobaculum_calidifontis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum_calidifontis
Burkholderia_ambifaria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ambifaria
Mycobacterium_leprae,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_leprae
Thermoanaerobacter_sp_X514,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter_sp_X514
Lactobacillus_sakei,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_sakei
Sulfolobus_islandicus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus_islandicus
Leptospira_borgpetersenii,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Leptospiraceae,Leptospira,Leptospira_borgpetersenii
Leptospira_interrogans,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Leptospiraceae,Leptospira,Leptospira_interrogans
Borrelia_afzelii,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_afzelii
Xanthomonas_euvesicatoria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_euvesicatoria
Shewanella_woodyi,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_woodyi
Methylobacterium_extorquens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_extorquens
Burkholderia_phymatum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_phymatum
Bartonella_henselae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_henselae
Clostridium_botulinum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_botulinum
Shewanella_loihica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_loihica
Sulfolobus_tokodaii,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus_tokodaii
Geobacter_lovleyi,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_lovleyi
Erwinia_amylovora,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_amylovora
Psychrobacter_cryohalolentis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_cryohalolentis
Burkholderia_glumae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_glumae
Bacillus_thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_thuringiensis
Mycoplasma_pneumoniae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_pneumoniae
Pseudomonas_aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa
Geobacillus_sp_Y412MC61,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_sp_Y412MC61
Mycoplasma_agalactiae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_agalactiae
Shewanella_violacea,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_violacea
Bifidobacterium_longum,Bacteria,Actinobacteria,Actinobacteria_class,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
Rickettsia_typhi,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_typhi
Geobacter_metallireducens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_metallireducens
Staphylococcus_epidermidis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Cupriavidus_metallidurans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_metallidurans
Shewanella_sp_ANA-3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_sp_ANA-3
Lactobacillus_delbrueckii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_delbrueckii
Pyrococcus_horikoshii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus_horikoshii
Pseudomonas_putida,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_putida
Bifidobacterium_adolescentis,Bacteria,Actinobacteria,Actinobacteria_class,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis
Campylobacter_fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_fetus
Mycobacterium_marinum,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_marinum
Xanthomonas_albilineans,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_albilineans
Thermotoga_maritima,Bacteria,Thermotogae,Thermotogae_class,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_maritima
Thermococcus_gammatolerans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus_gammatolerans
Clostridium_difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_difficile
Lactobacillus_plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_plantarum
Frankia_alni,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Frankiaceae,Frankia,Frankia_alni
Listeria_monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_monocytogenes
Methanosarcina_mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina_mazei
Burkholderia_vietnamiensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_vietnamiensis
Methanococcus_aeolicus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus_aeolicus
Shigella_boydii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella_boydii
Bacillus_weihenstephanensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_weihenstephanensis
Ehrlichia_chaffeensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_chaffeensis
Mycobacterium_gilvum,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_gilvum
Chlamydophila_caviae,Bacteria,Chlamydiae,Chlamydiae_class,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila_caviae
Chloroflexus_aggregans,Bacteria,Chloroflexi,Chloroflexi_class,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus_aggregans
Thermotoga_neapolitana,Bacteria,Thermotogae,Thermotogae_class,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_neapolitana
Lactobacillus_rhamnosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_rhamnosus
Rhizobium_etli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_etli
Thermotoga_naphthophila,Bacteria,Thermotogae,Thermotogae_class,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_naphthophila
Pseudomonas_syringae_group_genomosp_3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_syringae_group_genomosp_3
Shigella_flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella_flexneri
Shewanella_sp_W3-18-1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_sp_W3-18-1
Rickettsia_africae,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_africae
Francisella_philomiragia,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella_philomiragia
Vibrio_parahaemolyticus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_parahaemolyticus
Mycoplasma_genitalium,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_genitalium
Corynebacterium_urealyticum,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_urealyticum
Pseudomonas_fluorescens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_fluorescens
Bartonella_grahamii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_grahamii
Clostridium_cellulolyticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_cellulolyticum
Borrelia_duttonii,Bacteria,Spirochaetes,Spirochaetes_class,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia_duttonii
Streptococcus_suis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_suis
Thermococcus_sibiricus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus_sibiricus
Bartonella_tribocorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_tribocorum
Rickettsia_canadensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_canadensis
Mycobacterium_sp_KMS,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium_sp_KMS
Staphylococcus_carnosus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_carnosus
Mycoplasma_conjunctivae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_conjunctivae
